epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.2868,1.00691,3.59295,1.18828,0.84135,0.50741,0.66192,0.57925,0.61998,2.21599,0.89477,0.000299259,0.000299259,0.000299259
2,26.7429,1.01629,2.34484,1.193,0.88894,0.67133,0.83096,0.6882,0.63937,1.50225,0.9471,0.000596839,0.000596839,0.000596839
3,39.0337,1.00575,1.97207,1.1832,0.82341,0.82767,0.86947,0.71211,0.68342,1.16378,0.97974,0.000888965,0.000888965,0.000888965
4,50.9547,1.02543,1.69829,1.17693,0.96234,0.8671,0.97163,0.76896,0.7419,0.98488,1.00114,0.000884457,0.000884457,0.000884457
5,62.8397,1.02057,1.47773,1.18452,0.92658,0.83392,0.93855,0.79274,0.61666,0.82139,0.93141,0.000876276,0.000876276,0.000876276
6,74.7767,0.96494,1.28057,1.15238,0.95226,0.98758,0.99217,0.84244,0.61528,0.64975,0.91127,0.000868095,0.000868095,0.000868095
7,86.6597,0.91728,1.10395,1.10611,0.94495,0.96795,0.98784,0.84078,0.60844,0.65857,0.91386,0.000859914,0.000859914,0.000859914
8,98.2947,0.93376,1.06426,1.13291,0.97156,0.95316,0.99306,0.84505,0.60996,0.70508,0.94333,0.000851733,0.000851733,0.000851733
9,109.797,0.93425,0.97497,1.13115,0.94348,0.90136,0.98333,0.84102,0.60837,0.68854,0.90916,0.000843552,0.000843552,0.000843552
10,121.242,0.94036,0.91381,1.12637,0.93275,0.98317,0.97583,0.84961,0.577,0.58854,0.89436,0.000835371,0.000835371,0.000835371
11,132.642,0.9517,0.90283,1.12434,0.98616,0.97865,0.99279,0.86277,0.58886,0.4815,0.9037,0.00082719,0.00082719,0.00082719
12,144.028,0.93158,0.88759,1.12029,0.96694,0.97416,0.99215,0.85873,0.591,0.52795,0.91009,0.000819009,0.000819009,0.000819009
13,155.41,0.87963,0.79491,1.09131,0.97991,0.97932,0.995,0.86159,0.56055,0.48039,0.88576,0.000810828,0.000810828,0.000810828
14,166.843,0.90695,0.77534,1.10168,0.98095,0.98551,0.995,0.87531,0.52378,0.44479,0.87959,0.000802647,0.000802647,0.000802647
15,178.319,0.90125,0.77113,1.09874,0.98489,0.95108,0.99036,0.87423,0.53872,0.44646,0.87929,0.000794466,0.000794466,0.000794466
16,189.794,0.87983,0.75558,1.08716,0.99105,0.99794,0.995,0.88885,0.52349,0.40068,0.86625,0.000786285,0.000786285,0.000786285
17,201.242,0.88899,0.69684,1.09518,0.9884,0.98584,0.99409,0.87319,0.56536,0.38766,0.87597,0.000778104,0.000778104,0.000778104
18,212.679,0.88245,0.69758,1.07925,0.98418,0.99814,0.995,0.86891,0.5808,0.38008,0.89473,0.000769923,0.000769923,0.000769923
19,224.172,0.87421,0.7122,1.08686,0.98494,0.9988,0.995,0.88166,0.52755,0.41195,0.87996,0.000761742,0.000761742,0.000761742
20,235.719,0.86244,0.65795,1.07369,0.99056,0.99053,0.995,0.88496,0.50988,0.37083,0.87489,0.000753561,0.000753561,0.000753561
21,247.281,0.89129,0.6731,1.09666,0.99238,0.99855,0.995,0.9014,0.49791,0.43677,0.8649,0.00074538,0.00074538,0.00074538
22,259.028,0.87652,0.6558,1.08363,0.99188,0.99568,0.995,0.87891,0.51962,0.40939,0.87072,0.000737199,0.000737199,0.000737199
23,270.646,0.8674,0.63748,1.07024,0.98489,0.98656,0.995,0.87956,0.54401,0.37345,0.88733,0.000729018,0.000729018,0.000729018
24,282.3,0.86007,0.64678,1.07825,0.9819,0.99382,0.995,0.88179,0.50915,0.34525,0.86815,0.000720837,0.000720837,0.000720837
25,293.845,0.84,0.60356,1.0683,0.99336,0.9833,0.995,0.8853,0.49769,0.35412,0.86098,0.000712656,0.000712656,0.000712656
26,305.527,0.87147,0.64962,1.08756,0.97807,1,0.995,0.89337,0.49743,0.34776,0.8518,0.000704475,0.000704475,0.000704475
27,317.155,0.84199,0.61829,1.06115,0.95985,0.99255,0.99446,0.89948,0.48207,0.33241,0.86072,0.000696294,0.000696294,0.000696294
28,328.806,0.87343,0.61922,1.07912,0.96204,0.99048,0.99446,0.86615,0.55761,0.36422,0.89149,0.000688113,0.000688113,0.000688113
29,340.451,0.83084,0.60243,1.06003,0.99161,0.99331,0.995,0.89281,0.49206,0.33109,0.85346,0.000679932,0.000679932,0.000679932
30,352.083,0.83814,0.59773,1.06417,0.98356,0.99964,0.995,0.88837,0.4976,0.33699,0.86002,0.000671751,0.000671751,0.000671751
31,363.773,0.82419,0.56297,1.05569,0.98789,0.99309,0.995,0.90641,0.472,0.30188,0.84945,0.00066357,0.00066357,0.00066357
32,375.416,0.84453,0.57508,1.05503,0.99063,1,0.995,0.88482,0.50331,0.32685,0.85066,0.000655389,0.000655389,0.000655389
33,387.024,0.84825,0.5812,1.05939,0.98625,0.98266,0.995,0.88855,0.50962,0.33519,0.86061,0.000647208,0.000647208,0.000647208
34,398.566,0.82618,0.56688,1.04471,0.98988,1,0.995,0.88949,0.51359,0.32088,0.85931,0.000639027,0.000639027,0.000639027
35,410.14,0.83503,0.55745,1.06345,0.98302,0.99046,0.995,0.90705,0.47153,0.32546,0.85582,0.000630846,0.000630846,0.000630846
36,421.704,0.83041,0.56666,1.04938,0.99289,0.99936,0.995,0.89597,0.49674,0.31261,0.84973,0.000622665,0.000622665,0.000622665
37,433.225,0.83366,0.55625,1.05138,0.98294,1,0.99429,0.90057,0.49421,0.31853,0.865,0.000614484,0.000614484,0.000614484
38,445.262,0.81162,0.54644,1.03768,0.99013,0.99619,0.995,0.88927,0.50619,0.33439,0.85033,0.000606303,0.000606303,0.000606303
39,456.999,0.79522,0.53316,1.0408,0.99099,0.99853,0.995,0.90279,0.50028,0.30578,0.85831,0.000598122,0.000598122,0.000598122
40,469.081,0.81258,0.52666,1.04667,0.99377,1,0.995,0.89003,0.51431,0.31765,0.86577,0.000589941,0.000589941,0.000589941
41,481.021,0.80755,0.52874,1.04113,0.98704,0.98918,0.99476,0.88569,0.52295,0.31384,0.85705,0.00058176,0.00058176,0.00058176
42,492.793,0.78405,0.52739,1.04332,0.9894,0.99541,0.995,0.8994,0.51254,0.30551,0.86487,0.000573579,0.000573579,0.000573579
43,504.725,0.80912,0.52522,1.03856,0.99462,0.99156,0.995,0.91474,0.47321,0.29123,0.84118,0.000565398,0.000565398,0.000565398
44,516.704,0.78846,0.5155,1.02875,0.97376,1,0.995,0.91317,0.469,0.29499,0.83852,0.000557217,0.000557217,0.000557217
45,529.265,0.79636,0.50864,1.0392,0.99107,1,0.995,0.90732,0.45484,0.28416,0.84221,0.000549036,0.000549036,0.000549036
46,541.313,0.78288,0.50761,1.02899,0.9934,0.98941,0.995,0.90688,0.48538,0.29776,0.85783,0.000540855,0.000540855,0.000540855
47,553.511,0.80141,0.49657,1.03155,0.98866,0.98829,0.995,0.91345,0.461,0.28508,0.84724,0.000532674,0.000532674,0.000532674
48,565.567,0.81284,0.51347,1.04043,0.98367,0.99795,0.995,0.91134,0.47633,0.2871,0.84955,0.000524493,0.000524493,0.000524493
49,577.652,0.79788,0.52,1.0323,0.99196,0.9926,0.995,0.90245,0.4742,0.28228,0.8396,0.000516312,0.000516312,0.000516312
50,589.976,0.79456,0.51151,1.03158,0.99289,0.9977,0.995,0.89178,0.49985,0.29508,0.84789,0.000508131,0.000508131,0.000508131
51,602.077,0.79851,0.51191,1.02861,0.98996,1,0.995,0.909,0.47498,0.28517,0.84087,0.00049995,0.00049995,0.00049995
52,614.037,0.80827,0.50557,1.02831,0.98335,0.99551,0.995,0.89731,0.46657,0.28296,0.83637,0.000491769,0.000491769,0.000491769
53,626.019,0.80377,0.49123,1.04158,0.98856,1,0.995,0.91019,0.46796,0.29228,0.85386,0.000483588,0.000483588,0.000483588
